,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,VRF
198,regiona-pe01[GigabitEthernet0/0/0/120],,,,[],,,False,NONE,default
199,regiona-pe01[GigabitEthernet0/0/0/121],,,,[],,,False,NONE,default
200,regiona-pe01[GigabitEthernet0/0/0/122],,,,[],,,False,NONE,default
201,regiona-pe01[GigabitEthernet0/0/0/123],,,,[],,,False,NONE,default
202,regiona-pe01[GigabitEthernet0/0/0/124],,,,[],,,False,NONE,default
203,regiona-pe01[GigabitEthernet0/0/0/125],,,,[],,,False,NONE,default
204,regiona-pe01[GigabitEthernet0/0/0/126],,,,[],,,False,NONE,default
205,regiona-pe01[GigabitEthernet0/0/0/127],,,,[],,,False,NONE,default
206,regiona-pe01[Loopback0],,,,[],,1.1.1.1/32,False,NONE,default
207,regiona-pe01[MgmtEth0/0/CPU0/0],,,,[],,10.0.0.15/24,False,NONE,default
208,regiona-pe02[GigabitEthernet0/0/0/0],,,,[],,10.1.1.1/30,False,NONE,default
209,regiona-pe02[GigabitEthernet0/0/0/1],,,,[],,172.16.0.2/30,False,NONE,default
210,regiona-pe02[GigabitEthernet0/0/0/2],,,,[],,172.16.3.1/30,False,NONE,default
211,regiona-pe02[GigabitEthernet0/0/0/3],,,,[],,172.16.4.1/30,False,NONE,default
212,regiona-pe02[GigabitEthernet0/0/0/4],,,,[],,,False,NONE,default
213,regiona-pe02[GigabitEthernet0/0/0/5],,,,[],,,False,NONE,default
214,regiona-pe02[GigabitEthernet0/0/0/6],,,,[],,,False,NONE,default
215,regiona-pe02[GigabitEthernet0/0/0/7],,,,[],,,False,NONE,default
216,regiona-pe02[GigabitEthernet0/0/0/8],,,,[],,,False,NONE,default
217,regiona-pe02[GigabitEthernet0/0/0/9],,,,[],,,False,NONE,default
218,regiona-pe02[GigabitEthernet0/0/0/10],,,,[],,,False,NONE,default
219,regiona-pe02[GigabitEthernet0/0/0/11],,,,[],,,False,NONE,default
220,regiona-pe02[GigabitEthernet0/0/0/12],,,,[],,,False,NONE,default
221,regiona-pe02[GigabitEthernet0/0/0/13],,,,[],,,False,NONE,default
222,regiona-pe02[GigabitEthernet0/0/0/14],,,,[],,,False,NONE,default
223,regiona-pe02[GigabitEthernet0/0/0/15],,,,[],,,False,NONE,default
224,regiona-pe02[GigabitEthernet0/0/0/16],,,,[],,,False,NONE,default
225,regiona-pe02[GigabitEthernet0/0/0/17],,,,[],,,False,NONE,default
226,regiona-pe02[GigabitEthernet0/0/0/18],,,,[],,,False,NONE,default
227,regiona-pe02[GigabitEthernet0/0/0/19],,,,[],,,False,NONE,default
228,regiona-pe02[GigabitEthernet0/0/0/20],,,,[],,,False,NONE,default
229,regiona-pe02[GigabitEthernet0/0/0/21],,,,[],,,False,NONE,default
230,regiona-pe02[GigabitEthernet0/0/0/22],,,,[],,,False,NONE,default
231,regiona-pe02[GigabitEthernet0/0/0/23],,,,[],,,False,NONE,default
232,regiona-pe02[GigabitEthernet0/0/0/24],,,,[],,,False,NONE,default
233,regiona-pe02[GigabitEthernet0/0/0/25],,,,[],,,False,NONE,default
234,regiona-pe02[GigabitEthernet0/0/0/26],,,,[],,,False,NONE,default
235,regiona-pe02[GigabitEthernet0/0/0/27],,,,[],,,False,NONE,default
